service,surface,method,route_pattern,dynamic_prefix,auth_or_permission,handler,source_file,source_line
go-api,小程序 API,PUT,/api/app/profile/system-management/skill-config,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.saveSystemSkillConfig)),services/go-api/internal/appapi/server.go,474
go-api,小程序 API,GET,/api/app/redemption/items,否,小程序登录态,s.AppAuthMiddleware(s.redemptionItems),services/go-api/internal/appapi/server.go,514
go-api,小程序 API,POST,/api/app/redemption/orders,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.createRedemptionOrder)),services/go-api/internal/appapi/server.go,515
go-api,小程序 API,GET,/api/app/redemption/orders/,是,小程序登录态,s.AppAuthMiddleware(s.redemptionOrderDetail),services/go-api/internal/appapi/server.go,517
go-api,小程序 API,POST,/api/app/redemption/orders/,是,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.routeRedemptionOrderPost)),services/go-api/internal/appapi/server.go,518
go-api,小程序 API,GET,/api/app/redemption/orders/my,否,小程序登录态,s.AppAuthMiddleware(s.myRedemptionOrders),services/go-api/internal/appapi/server.go,516
go-api,小程序 API,POST,/api/app/reports,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.createReport)),services/go-api/internal/appapi/server.go,557
go-api,小程序 API,GET,/api/app/reports/,是,小程序登录态,s.AppAuthMiddleware(s.myReportDetail),services/go-api/internal/appapi/server.go,556
go-api,小程序 API,POST,/api/app/reports/,是,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.routeAppReportPost)),services/go-api/internal/appapi/server.go,558
go-api,小程序 API,GET,/api/app/reports/appeals/my,否,小程序登录态,s.AppAuthMiddleware(s.myAppeals),services/go-api/internal/appapi/server.go,554
go-api,小程序 API,GET,/api/app/reports/config,否,小程序登录态,s.AppAuthMiddleware(s.reportConfig),services/go-api/internal/appapi/server.go,552
go-api,小程序 API,GET,/api/app/reports/my,否,小程序登录态,s.AppAuthMiddleware(s.myReports),services/go-api/internal/appapi/server.go,553
go-api,小程序 API,POST,/api/app/revenues/simulate,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.appRevenueSimulate)),services/go-api/internal/appapi/server.go,504
go-api,小程序 API,POST,/api/app/reviews,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.submitReview)),services/go-api/internal/appapi/server.go,463
go-api,小程序 API,GET,/api/app/reviews/available,否,小程序登录态,s.AppAuthMiddleware(s.reviewTodos),services/go-api/internal/appapi/server.go,461
go-api,小程序 API,GET,/api/app/reviews/complete-config,否,小程序登录态,s.AppAuthMiddleware(s.reviewCompleteConfig),services/go-api/internal/appapi/server.go,462
go-api,小程序 API,GET,/api/app/reviews/my-intents,否,小程序登录态,s.AppAuthMiddleware(s.myReviewIntents),services/go-api/internal/appapi/server.go,464
go-api,小程序 API,GET,/api/app/reviews/todos,否,小程序登录态,s.AppAuthMiddleware(s.reviewTodos),services/go-api/internal/appapi/server.go,460
go-api,小程序 API,POST,/api/app/role-applications,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.submitRoleApplication)),services/go-api/internal/appapi/server.go,534
go-api,小程序 API,GET,/api/app/role-applications/benefit-config,否,小程序登录态,s.AppAuthMiddleware(s.roleBenefitConfig),services/go-api/internal/appapi/server.go,533
go-api,小程序 API,GET,/api/app/role-applications/expert/config,否,小程序登录态,s.AppAuthMiddleware(s.expertApplyConfig),services/go-api/internal/appapi/server.go,530
go-api,小程序 API,GET,/api/app/role-applications/guide/config,否,小程序登录态,s.AppAuthMiddleware(s.guideApplyConfig),services/go-api/internal/appapi/server.go,531
go-api,小程序 API,GET,/api/app/role-applications/my,否,小程序登录态,s.AppAuthMiddleware(s.myRoleApplications),services/go-api/internal/appapi/server.go,535
go-api,小程序 API,GET,/api/app/role-applications/status-config,否,小程序登录态,s.AppAuthMiddleware(s.roleStatusPageConfig),services/go-api/internal/appapi/server.go,532
go-api,小程序 API,GET,/api/app/roles/my,否,小程序登录态,s.AppAuthMiddleware(s.myRoles),services/go-api/internal/appapi/server.go,529
go-api,小程序 API,POST,/api/app/sms/send-code,否,公开或处理器内校验,s.sendSMSCode,services/go-api/internal/appapi/server.go,406
go-api,小程序 API,POST,/api/app/sms/verify-code,否,公开或处理器内校验,s.verifySMSCode,services/go-api/internal/appapi/server.go,407
go-api,小程序 API,GET,/api/app/teams/my,否,小程序登录态,s.AppAuthMiddleware(s.myTeam),services/go-api/internal/appapi/server.go,539
go-api,小程序 API,GET,/api/app/teams/my/members,否,小程序登录态,s.AppAuthMiddleware(s.myTeamMembers),services/go-api/internal/appapi/server.go,540
go-api,小程序 API,GET,/api/app/teams/my/revenue-summary,否,小程序登录态,s.AppAuthMiddleware(s.myTeamRevenueSummary),services/go-api/internal/appapi/server.go,541
go-api,小程序 API,GET,/api/app/users/me,否,小程序登录态,s.AppAuthMiddleware(s.currentUser),services/go-api/internal/appapi/server.go,399
go-api,小程序 API,GET,/api/app/users/me/growth,否,小程序登录态,s.AppAuthMiddleware(s.reviewProfile),services/go-api/internal/appapi/server.go,465
go-api,小程序 API,PUT,/api/app/users/me/profile,否,小程序登录态,s.AppAuthMiddleware(s.IdempotencyMiddleware(s.updateCurrentUserProfile)),services/go-api/internal/appapi/server.go,404
go-api,小程序 API,GET,/api/app/users/me/summary,否,小程序登录态,s.AppAuthMiddleware(s.currentUserSummary),services/go-api/internal/appapi/server.go,400
go-api,资金 API,POST,/api/funds/profit-sharing/orders,否,公开或处理器内校验,s.profitSharingOrderPlaceholder,services/go-api/internal/appapi/server.go,715
go-api,资金 API,GET,/api/funds/profit-sharing/orders/,是,公开或处理器内校验,s.profitSharingOrderQueryPlaceholder,services/go-api/internal/appapi/server.go,716
go-api,资金 API,POST,/api/funds/profit-sharing/return-orders,否,公开或处理器内校验,s.profitSharingReturnPlaceholder,services/go-api/internal/appapi/server.go,717
go-api,内部 API,POST,/api/internal/ai/content-risk/check-placeholder,否,内部调用,s.aiContentRiskPlaceholder,services/go-api/internal/appapi/server.go,713
go-api,内部 API,POST,/api/internal/im/archive-expired-rooms,否,内部调用,s.archiveExpiredIMRooms,services/go-api/internal/appapi/server.go,711
go-api,内部 API,POST,/api/internal/im/retry-failed-rooms,否,内部调用,s.retryFailedIMRooms,services/go-api/internal/appapi/server.go,712
go-api,内部 API,POST,/api/internal/jobs/points-expire,否,内部调用,s.runPointsExpireJob,services/go-api/internal/appapi/server.go,721
go-api,内部 API,POST,/api/internal/jobs/progress-feedback-remind,否,内部调用,s.runProgressFeedbackRemindJob,services/go-api/internal/appapi/server.go,720
go-api,内部 API,POST,/api/internal/jobs/review-remind,否,内部调用,s.runReviewRemindJob,services/go-api/internal/appapi/server.go,719
go-api,内部 API,POST,/api/internal/notifications/wechat-tasks/,是,内部调用,s.routeWechatTaskPost,services/go-api/internal/appapi/server.go,718
go-api,内部 API,POST,/api/internal/openim/webhooks,否,内部调用,s.openIMWebhook,services/go-api/internal/appapi/server.go,710
go-api,内部 API,POST,/api/internal/pay/callback-placeholder,否,内部调用,s.paymentCallbackPlaceholder,services/go-api/internal/appapi/server.go,714
go-api,内部 API,POST,/api/internal/reports/export-runner,否,后台权限:report_export:create,"s.requireAdminPermission(""report_export:create"", s.runExportTasks)",services/go-api/internal/appapi/server.go,722
go-api,健康检查,GET,/health,否,公开,health handler,services/go-api/cmd/server/main.go,118
