table_name,created_in,create_line,column_count,columns,alter_migrations,index_count,unique_index_count
reviews,000006_review_growth_credit.sql,1,11,id;game_id;reviewer_user_id;target_user_id;target_role;score;content;again_intent;created_at;tags;nps_score,000022_review_tags.sql;000049_review_nps_score.sql,1,0
role_applications,000003_realname_roles.sql,22,15,id;user_id;role_code;status;reason;ability_description;proof_file_ids;reject_reason;review_admin_id;review_remark;created_at;updated_at;certificate_no;certified_at;eligibility_snapshot,000038_role_application_certificates.sql;000058_role_application_eligibility_snapshot.sql,2,2
schema_migrations_marker,000001_init_extensions.sql,4,4,id;version;description;applied_at,,0,0
sensitive_words,000005_im.sql,34,6,id;word;level;action;status;created_at,,0,0
settlement_records,000007_revenue_orders.sql,76,6,id;revenue_record_id;method;proof_no;amount_cent;created_at,,0,0
system_configs,000029_system_configs.sql,1,6,id;config_key;config_value;status;created_at;updated_at,,1,0
team_relations,000010_p1_reserved.sql,50,7,id;leader_user_id;member_user_id;relation_level;source;status;created_at,,0,0
teams,000019_team_member_repository.sql,1,5,id;leader_user_id;name;status;created_at,,1,0
test_cases,000010_p1_reserved.sql,152,6,id;module;case_name;priority;expected_result;created_at,,0,0
test_runs,000010_p1_reserved.sql,161,6,id;case_id;result;actual_result;request_id;created_at,,0,0
user_achievements,000006_review_growth_credit.sql,113,4,id;user_id;achievement_code;achieved_at,,0,0
user_behavior_logs,000009_behavior_export.sql,1,16,id;user_id;event_type;target_type;target_id;page_path;keyword;extra;created_at;event_code;business_type;business_id;source;device;ip;occurred_at,000013_behavior_log_fields.sql,5,0
user_connections,000010_p1_reserved.sql,98,9,id;user_id;connected_user_id;relation_type;source_type;source_id;strength_score;created_at;updated_at,,1,0
user_footprints,000006_review_growth_credit.sql,98,5,id;user_id;game_id;action;created_at,,0,0
user_growth_profiles,000006_review_growth_credit.sql,32,5,user_id;level;experience;review_count;updated_at,,0,0
user_income_accounts,000007_revenue_orders.sql,58,6,id;user_id;total_cent;pending_cent;settled_cent;updated_at,,0,0
user_location_records,000018_user_location_records.sql,1,11,id;user_id;longitude;latitude;accuracy_meter;accuracy_warning;city_code;city_name;address;source;created_at,,2,0
user_login_activity,000068_user_login_activity.sql,1,3,user_id;last_app_login_at;updated_at,,1,0
user_login_passwords,000063_user_login_passwords.sql,1,3,user_id;password_hash;updated_at,,0,0
user_memberships,000003_realname_roles.sql,50,6,id;user_id;plan_code;status;started_at;expires_at,,0,0
user_newbie_guide_progress,000067_user_newbie_guide_progress.sql,1,4,user_id;profile_reminder_count;last_profile_reminder_at;updated_at,,0,0
user_profiles,000020_user_profiles_repository.sql,1,9,id;user_id;gender;bio;interest_tags;city_code;city_name;created_at;updated_at,,1,0
user_roles,000003_realname_roles.sql,13,5,id;user_id;role_code;status;created_at,,0,0
user_system_management_configs,000033_user_system_management_configs.sql,1,4,user_id;config_key;config_value;updated_at,,1,0
user_task_progress,000056_user_task_progress.sql,1,3,user_id;task_code;completed_at,,1,0
user_wechat_accounts,000002_account_invite.sql,13,7,id;user_id;openid;unionid;session_key_encrypted;created_at;updated_at,,0,0
users,000002_account_invite.sql,1,12,id;status;nickname;avatar_url;mobile_encrypted;mobile_masked;realname_status;created_at;updated_at;avatar_file_id;mobile_hash;account_type,000020_user_profiles_repository.sql;000036_user_phone_auth.sql;000065_platform_official_inviter.sql,3,2
wechat_subscribe_tasks,000008_admin_system.sql,105,11,id;notification_id;user_id;scene;template_id;status;request_payload;result_code;result_message;created_at;sent_at,,2,0
wechat_subscribe_templates,000008_admin_system.sql,96,6,id;scene;template_id;title;status;created_at,,0,0
